codigo;nombre_cruce;tramo;sentido;desde;hasta;latitud;longitud
2023_702;  MENENDEZ PELAYO;Amado Nervo-Conde de Cartagena;Amado Nervo;15/11/2023;21/11/2023;40.410.033;-3.677.045
2023_703; Av. MENENDEZ PELAYO;Amado Nervo-Conde de Cartagena;Conde de Cartagena;15/11/2023;21/11/2023;40.410.060;-3.677.100
2023_704;MENENDEZ PELAYO;ENTRE DOCE DE OCTUBRE Y PIO BAROJA;PIO BAROJA;21/10/2023;27/10/2023;40.414.760;-3.677.590
2023_705;MENENDEZ PELAYO;ENTRE DOCE DE OCTUBRE Y PIO BAROJA;DOCE DE OCTUBRE;21/10/2023;27/10/2023;40.414.890;-3.677.510
2023_708;C. MIGUEL YUSTE;Arcentales (Av) - Emilio Munoz;Emilio Munoz;22/06/2023;28/06/2023;40.433.985;-3.622.091
2023_712;C. MODESTO LAFUENTE;Espronceda - Breton De Los Herreros;Breton De Los Herreros;24/05/2023;30/05/2023;40.440.033;-3.696.117
2023_737;Pº MORET;Pza. de Moncloa-Martín de los Heros;Pza. de Moncloa;16/11/2023;22/11/2023;40.434.359;-3.720.883
2023_738; Paseo. MORET;Plaza de la Moncloa-Ferraz;Ferraz;16/11/2023;22/11/2023;40.434.290;-3.720.090
2023_741; C. NARVAEZ;O'Donnell-Doctor Castelo;Doctor Castelo;16/11/2023;22/11/2023;40.420.900;-3.676.000
2023_742; C. NARVAEZ;O'Donnell-Doctor Castelo;O'Donnell;16/11/2023;22/11/2023;40.420.820;-3.676.060
2023_743;Av. NICETO ALCALA ZAMORA;Avenida Francisco Pi y Margall-M40;M40;16/11/2023;22/11/2023;40.484.930;-3.647.520
2023_744;Av. NICETO ALCALA ZAMORA;Avenida Francisco Pi y Margall-M40;Avenida Francisco Pi y Margall;16/11/2023;22/11/2023;40.484.900;-3.647.550
2023_747; Av. NUESTRA SENORA DE FATIMA;Guabairo-Nuestra Senora de la Luz;Nuestra Senora de la Luz;16/11/2023;22/11/2023;40.384.730;-3.746.450
2023_748; Av. NUESTRA SENORA DE FATIMA;Nuestra Senora de la Luz-Monsenor Oscar Romero;Monsenor Oscar Romero;16/11/2023;22/11/2023;40.383.740;-3.747.240
2023_749; AV NUESTRA SE¥ORA DE FATIMA;CALLE DEL ESPINAR-PASEO MU¥OZ GRANDES;PASEO MU¥OZ GRANDES;16/11/2023;22/11/2023;40.386.520;-3.743.830
2023_751;C. NUESTRA SENORA DE LA LUZ;Camino Ingenieros-Ocana;Ocana;16/11/2023;22/11/2023;40.386.082;-3.751.041
2023_752; C. NUESTRA SENORA DE LA LUZ;Camino Ingenieros-Nuestra Senora de Fatima;Nuestra Senora de Fatima;16/11/2023;22/11/2023;40.384.730;-3.748.010
2023_753; C. NUESTRA SENORA DE LA LUZ;Avenida Nuestra Senora de Fatima-Camino de los Ingenieros;Camino de los Ingenieros;16/11/2023;22/11/2023;40.384.710;-3.747.530
